PackageID,Length,Width,Depth,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,CartonName,ItemsFit,%Utilization,BestFit
DY10337,8.25,3.25,29,2-Way Flat Pallet-33264,35,81.81,2-Way Flat Pallet-54432,58,82.85,2-Way Flat Pallet-72576,78,83.57,2-Way Flat Pallet-90720,96,82.28,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY10614,23.25,11.25,36.5,2-Way Flat Pallet-33264,1,28.7,2-Way Flat Pallet-54432,4,70.16,2-Way Flat Pallet-72576,5,65.77,2-Way Flat Pallet-90720,7,73.67,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY10618,17.81,13.96,1.81,2-Way Flat Pallet-33264,72,97.41,2-Way Flat Pallet-54432,114,94.25,2-Way Flat Pallet-72576,156,96.73,2-Way Flat Pallet-90720,198,98.22,Half Pallet Box (2 or 4 way base)-10682,19,80.04,Full Pallet Box (2 or 4 way)-21458,27,56.62,Full Pallet Box (2 or 4 way)
DY10620,17.87,2.93,20.92,2-Way Flat Pallet-33264,28,92.2,2-Way Flat Pallet-54432,38,76.47,2-Way Flat Pallet-72576,60,90.55,2-Way Flat Pallet-90720,80,96.59,Half Pallet Box (2 or 4 way base)-10682,4,41.02,Full Pallet Box (2 or 4 way)-21458,14,71.46,Full Pallet Box (2 or 4 way)
DY10628,7,7,10.5,2-Way Flat Pallet-33264,60,92.8,2-Way Flat Pallet-54432,90,85.07,2-Way Flat Pallet-72576,120,85.07,2-Way Flat Pallet-90720,170,96.41,Half Pallet Box (2 or 4 way base)-10682,9,43.35,Full Pallet Box (2 or 4 way)-21458,24,57.54,Full Pallet Box (2 or 4 way)
DY10663,37.25,21.75,1.25,2-Way Flat Pallet-33264,28,85.25,2-Way Flat Pallet-54432,39,72.56,2-Way Flat Pallet-72576,52,72.56,2-Way Flat Pallet-90720,73,81.49,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY10668,22.88,17.13,14.88,2-Way Flat Pallet-33264,2,35.06,2-Way Flat Pallet-54432,4,42.86,2-Way Flat Pallet-72576,6,48.21,2-Way Flat Pallet-90720,8,51.43,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,1,27.18,Full Pallet Box (2 or 4 way)
DY10727,28.25,4.25,28.5,2-Way Flat Pallet-33264,5,51.43,2-Way Flat Pallet-54432,11,69.15,2-Way Flat Pallet-72576,14,66.01,2-Way Flat Pallet-90720,20,75.44,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
DY10814,22.75,22.75,23.25,2-Way Flat Pallet-33264,0,0,2-Way Flat Pallet-54432,1,22.11,2-Way Flat Pallet-72576,2,33.16,2-Way Flat Pallet-90720,2,26.53,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,1,56.08,Full Pallet Box (2 or 4 way)
DY11007,31,28.75,1.85,2-Way Flat Pallet-33264,11,54.52,2-Way Flat Pallet-54432,28,84.82,2-Way Flat Pallet-72576,34,77.24,2-Way Flat Pallet-90720,50,90.87,Half Pallet Box (2 or 4 way base)-10682,0,0,Full Pallet Box (2 or 4 way)-21458,0,0,2-Way Flat Pallet
